Date,Task,Project,Count
,"Lecture 5: Training Neural net, activation fu...",Convolutional NN for Visual Recognition,1
,Core strength,Habbit,1
2016-08-23,,,
,"Lecture 5: Training Neural net, activation fu...",Convolutional NN for Visual Recognition,2
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,5
2016-08-24,,,
,Legs day,Habbit,1
,Gym treadmill run,Habbit,1
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,4
2016-08-25,,,
,Biking stationary,Habbit,1
2016-08-26,,,
,HIIT,Health goal,1
,Meditation,Habbit,1
2016-08-27,,,
,Cooking,Habbit,1
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,14
2016-08-29,,,
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,2
,Gym treadmill run,Habbit,1
,Yoga,Habbit,1
2016-08-31,,,
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,4
,Getting ready for first Pomodoro,Bad habbits,1
,Gym treadmill run,Habbit,1
2016-09-01,,,
,Legs day,Habbit,1
,Gym treadmill run,Habbit,1
,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,3
2016-09-02,,,
,Lean in by Sheryl,Reading books ,3
,Assignment 1 Neural network,Convolutional NN for Visual Recognition,3
2016-09-02,,,
,HIIT,Health goal,1
2016-09-05,,,
,Lean in by Sheryl,Reading books ,3
